frequency_hz,ad5245_value,ad5245_readback,sample,timestamp_s,code_a,voltage_a_v,ac_a_v,code_b,voltage_b_v,ac_b_v,raw_hex
95000,1,1,84,2.390390,433,0.528694,-1.971306,180,0.219780,-2.280220,03 62 01 68
95000,1,1,85,2.390392,434,0.529915,-1.970085,182,0.222222,-2.277778,03 64 01 6C
95000,1,1,86,2.390393,434,0.529915,-1.970085,181,0.221001,-2.278999,03 64 01 6A
95000,1,1,87,2.390396,435,0.531136,-1.968864,181,0.221001,-2.278999,03 66 01 6A
95000,1,1,88,2.390399,433,0.528694,-1.971306,180,0.219780,-2.280220,03 62 01 68
95000,1,1,89,2.390400,431,0.526252,-1.973748,179,0.218559,-2.281441,03 5E 01 66
95000,1,1,90,2.390401,433,0.528694,-1.971306,180,0.219780,-2.280220,03 62 01 68
95000,1,1,91,2.390402,435,0.531136,-1.968864,182,0.222222,-2.277778,03 66 01 6C
95000,1,1,92,2.390403,434,0.529915,-1.970085,181,0.221001,-2.278999,03 64 01 6A
95000,1,1,93,2.390404,433,0.528694,-1.971306,180,0.219780,-2.280220,03 62 01 68
95000,1,1,94,2.390407,433,0.528694,-1.971306,181,0.221001,-2.278999,03 62 01 6A
95000,1,1,95,2.390408,433,0.528694,-1.971306,180,0.219780,-2.280220,03 62 01 68
95000,1,1,96,2.390432,434,0.529915,-1.970085,180,0.219780,-2.280220,03 64 01 68
95000,1,1,97,2.390438,433,0.528694,-1.971306,179,0.218559,-2.281441,03 62 01 66
95000,1,1,98,2.390440,431,0.526252,-1.973748,179,0.218559,-2.281441,03 5E 01 66
95000,1,1,99,2.390441,434,0.529915,-1.970085,181,0.221001,-2.278999,03 64 01 6A
95000,1,1,100,2.390443,435,0.531136,-1.968864,181,0.221001,-2.278999,03 66 01 6A
95000,1,1,101,2.390454,433,0.528694,-1.971306,180,0.219780,-2.280220,03 62 01 68
95000,1,1,102,2.390455,432,0.527473,-1.972527,179,0.218559,-2.281441,03 60 01 66
95000,1,1,103,2.390457,433,0.528694,-1.971306,179,0.218559,-2.281441,03 62 01 66
95000,1,1,104,2.390458,433,0.528694,-1.971306,181,0.221001,-2.278999,03 62 01 6A
95000,1,1,105,2.390459,433,0.528694,-1.971306,181,0.221001,-2.278999,03 62 01 6A
95000,1,1,106,2.390460,434,0.529915,-1.970085,180,0.219780,-2.280220,03 64 01 68
95000,1,1,107,2.390462,434,0.529915,-1.970085,180,0.219780,-2.280220,03 64 01 68
95000,1,1,108,2.390463,432,0.527473,-1.972527,179,0.218559,-2.281441,03 60 01 66
95000,1,1,109,2.390466,431,0.526252,-1.973748,179,0.218559,-2.281441,03 5E 01 66
95000,1,1,110,2.390470,434,0.529915,-1.970085,181,0.221001,-2.278999,03 64 01 6A
95000,1,1,111,2.390472,434,0.529915,-1.970085,181,0.221001,-2.278999,03 64 01 6A
95000,1,1,112,2.390475,433,0.528694,-1.971306,180,0.219780,-2.280220,03 62 01 68
95000,1,1,113,2.390476,432,0.527473,-1.972527,180,0.219780,-2.280220,03 60 01 68
95000,1,1,114,2.390479,433,0.528694,-1.971306,179,0.218559,-2.281441,03 62 01 66
95000,1,1,115,2.390481,433,0.528694,-1.971306,181,0.221001,-2.278999,03 62 01 6A
95000,1,1,116,2.390482,433,0.528694,-1.971306,181,0.221001,-2.278999,03 62 01 6A
95000,1,1,117,2.390483,434,0.529915,-1.970085,180,0.219780,-2.280220,03 64 01 68
95000,1,1,118,2.390484,434,0.529915,-1.970085,180,0.219780,-2.280220,03 64 01 68
95000,1,1,119,2.390486,432,0.527473,-1.972527,179,0.218559,-2.281441,03 60 01 66
95000,1,1,120,2.390487,432,0.527473,-1.972527,179,0.218559,-2.281441,03 60 01 66
95000,1,1,121,2.390488,434,0.529915,-1.970085,182,0.222222,-2.277778,03 64 01 6C
95000,1,1,122,2.390489,434,0.529915,-1.970085,181,0.221001,-2.278999,03 64 01 6A
95000,1,1,123,2.390490,432,0.527473,-1.972527,180,0.219780,-2.280220,03 60 01 68
95000,1,1,124,2.390491,433,0.528694,-1.971306,180,0.219780,-2.280220,03 62 01 68
95000,1,1,125,2.390492,433,0.528694,-1.971306,179,0.218559,-2.281441,03 62 01 66
95000,1,1,126,2.390493,433,0.528694,-1.971306,181,0.221001,-2.278999,03 62 01 6A
95000,1,1,127,2.390495,433,0.528694,-1.971306,181,0.221001,-2.278999,03 62 01 6A
95000,1,1,128,2.390497,435,0.531136,-1.968864,181,0.221001,-2.278999,03 66 01 6A
96000,1,1,1,4.769411,429,0.523810,-1.976190,181,0.221001,-2.278999,03 5A 01 6A
96000,1,1,2,4.769425,429,0.523810,-1.976190,180,0.219780,-2.280220,03 5A 01 68
96000,1,1,3,4.769428,429,0.523810,-1.976190,182,0.222222,-2.277778,03 5A 01 6C
96000,1,1,4,4.769429,429,0.523810,-1.976190,182,0.222222,-2.277778,03 5A 01 6C
96000,1,1,5,4.769431,431,0.526252,-1.973748,181,0.221001,-2.278999,03 5E 01 6A
96000,1,1,6,4.769432,430,0.525031,-1.974969,182,0.222222,-2.277778,03 5C 01 6C
96000,1,1,7,4.769433,428,0.522589,-1.977411,180,0.219780,-2.280220,03 58 01 68
96000,1,1,8,4.769435,428,0.522589,-1.977411,180,0.219780,-2.280220,03 58 01 68
96000,1,1,9,4.769436,431,0.526252,-1.973748,183,0.223443,-2.276557,03 5E 01 6E
96000,1,1,10,4.769438,430,0.525031,-1.974969,182,0.222222,-2.277778,03 5C 01 6C
96000,1,1,11,4.769440,429,0.523810,-1.976190,181,0.221001,-2.278999,03 5A 01 6A
96000,1,1,12,4.769441,430,0.525031,-1.974969,181,0.221001,-2.278999,03 5C 01 6A
96000,1,1,13,4.769442,429,0.523810,-1.976190,180,0.219780,-2.280220,03 5A 01 68
96000,1,1,14,4.769443,429,0.523810,-1.976190,182,0.222222,-2.277778,03 5A 01 6C
96000,1,1,15,4.769444,430,0.525031,-1.974969,182,0.222222,-2.277778,03 5C 01 6C
96000,1,1,16,4.769446,431,0.526252,-1.973748,182,0.222222,-2.277778,03 5E 01 6C
96000,1,1,17,4.769447,430,0.525031,-1.974969,181,0.221001,-2.278999,03 5C 01 6A
96000,1,1,18,4.769449,428,0.522589,-1.977411,180,0.219780,-2.280220,03 58 01 68
96000,1,1,19,4.769450,430,0.525031,-1.974969,180,0.219780,-2.280220,03 5C 01 68
96000,1,1,20,4.769451,431,0.526252,-1.973748,183,0.223443,-2.276557,03 5E 01 6E
96000,1,1,21,4.769453,430,0.525031,-1.974969,182,0.222222,-2.277778,03 5C 01 6C
96000,1,1,22,4.769454,430,0.525031,-1.974969,181,0.221001,-2.278999,03 5C 01 6A
96000,1,1,23,4.769455,430,0.525031,-1.974969,181,0.221001,-2.278999,03 5C 01 6A
96000,1,1,24,4.769456,429,0.523810,-1.976190,180,0.219780,-2.280220,03 5A 01 68
96000,1,1,25,4.769457,429,0.523810,-1.976190,182,0.222222,-2.277778,03 5A 01 6C
96000,1,1,26,4.769459,432,0.527473,-1.972527,182,0.222222,-2.277778,03 60 01 6C
96000,1,1,27,4.769460,431,0.526252,-1.973748,182,0.222222,-2.277778,03 5E 01 6C
96000,1,1,28,4.769461,429,0.523810,-1.976190,181,0.221001,-2.278999,03 5A 01 6A
96000,1,1,29,4.769462,429,0.523810,-1.976190,180,0.219780,-2.280220,03 5A 01 68
96000,1,1,30,4.769463,431,0.526252,-1.973748,181,0.221001,-2.278999,03 5E 01 6A
96000,1,1,31,4.769464,431,0.526252,-1.973748,183,0.223443,-2.276557,03 5E 01 6E
96000,1,1,32,4.769465,430,0.525031,-1.974969,182,0.222222,-2.277778,03 5C 01 6C
96000,1,1,33,4.769467,431,0.526252,-1.973748,181,0.221001,-2.278999,03 5E 01 6A
96000,1,1,34,4.769469,430,0.525031,-1.974969,181,0.221001,-2.278999,03 5C 01 6A
96000,1,1,35,4.769470,429,0.523810,-1.976190,180,0.219780,-2.280220,03 5A 01 68
96000,1,1,36,4.769471,430,0.525031,-1.974969,182,0.222222,-2.277778,03 5C 01 6C
96000,1,1,37,4.769472,432,0.527473,-1.972527,183,0.223443,-2.276557,03 60 01 6E
96000,1,1,38,4.769474,431,0.526252,-1.973748,182,0.222222,-2.277778,03 5E 01 6C
96000,1,1,39,4.769475,429,0.523810,-1.976190,181,0.221001,-2.278999,03 5A 01 6A
96000,1,1,40,4.769475,429,0.523810,-1.976190,180,0.219780,-2.280220,03 5A 01 68
96000,1,1,41,4.769477,431,0.526252,-1.973748,181,0.221001,-2.278999,03 5E 01 6A
96000,1,1,42,4.769478,431,0.526252,-1.973748,183,0.223443,-2.276557,03 5E 01 6E
96000,1,1,43,4.769479,430,0.525031,-1.974969,182,0.222222,-2.277778,03 5C 01 6C
96000,1,1,44,4.769481,432,0.527473,-1.972527,182,0.222222,-2.277778,03 60 01 6C
96000,1,1,45,4.769482,430,0.525031,-1.974969,181,0.221001,-2.278999,03 5C 01 6A
96000,1,1,46,4.769483,428,0.522589,-1.977411,180,0.219780,-2.280220,03 58 01 68
96000,1,1,47,4.769484,431,0.526252,-1.973748,182,0.222222,-2.277778,03 5E 01 6C
96000,1,1,48,4.769485,431,0.526252,-1.973748,183,0.223443,-2.276557,03 5E 01 6E
96000,1,1,49,4.769486,431,0.526252,-1.973748,182,0.222222,-2.277778,03 5E 01 6C
96000,1,1,50,4.769488,432,0.527473,-1.972527,182,0.222222,-2.277778,03 60 01 6C
96000,1,1,51,4.769489,430,0.525031,-1.974969,181,0.221001,-2.278999,03 5C 01 6A
96000,1,1,52,4.769490,428,0.522589,-1.977411,180,0.219780,-2.280220,03 58 01 68
96000,1,1,53,4.769491,430,0.525031,-1.974969,182,0.222222,-2.277778,03 5C 01 6C
96000,1,1,54,4.769493,432,0.527473,-1.972527,183,0.223443,-2.276557,03 60 01 6E
96000,1,1,55,4.769494,431,0.526252,-1.973748,182,0.222222,-2.277778,03 5E 01 6C
96000,1,1,56,4.769495,429,0.523810,-1.976190,181,0.221001,-2.278999,03 5A 01 6A
96000,1,1,57,4.769496,431,0.526252,-1.973748,180,0.219780,-2.280220,03 5E 01 68
